jente	True	jente	tytär, tyđär	nob	fkv
tyđär	True	tyđär	jente, pike	fkv	nob
hus	True	hus	huonet, talo, tupa	nob	fkv
kantama	False			fkv	nob
varpu	True	varpu	bjørkeris, bladstilk	fkv	nob
väärä	True	väärä	gal	fkv	nob
loda	False			fkv	nob
sammal	True	sammal	mose	fkv	nob
hoppee	True	hoppee	sølv	fkv	nob
tyyris	True	tyyris	dyr	fkv	nob
raana	False			fkv	nob
kraana	False			fkv	nob
vuoli	False			fkv	nob
hauki	True	hauki	gjedde	fkv	nob
haukisuoli	True	hauki	gjedde	fkv	nob
suoli	True	suoli	tarm	fkv	nob
suoli	True	suoli	tarm	fkv	nob
koipi	True	koipi	skank, skankehud	fkv	nob
koipi	True	koipi	skank, skankehud	fkv	nob
hauki	True	hauki	gjedde	fkv	nob
hauki	True	hauki	gjedde	fkv	nob
tuohi	True	tuohi	never	fkv	nob
törmä	True	törmä	bakke, bakkekant	fkv	nob
kaali	True	kaali	blad, kål	fkv	nob
sikiä	False			fkv	nob
veittinen	False			fkv	nob
metto	True	metto	tiur	fkv	nob
kielikirja	True	kieli	språk, tunge	fkv	nob
kirja	True	kirja	bok	fkv	nob
KIELIkirja	False			fkv	nob
kielikirja	True	kieli	språk, tunge	fkv	nob
saađa	True	saađa	få	fkv	nob
